1,Bulbasaur,3
2,Ivysaur,4
3,Venusaur,5
4,Charmander,3
5,Charmeleon,4
6,Charizard,5
7,Squirtle,3
8,Wartortle,4
9,Blastoise,5
10,Caterpie,2
11,Metapod,3
12,Butterfree,4
13,Weedle,1
14,Kakuna,3
15,Beedrill,4
16,Pidgey,1
17,Pidgeotto,3
18,Pidgeot,4
19,Rattata,1
20,Raticate,3
21,Spearow,1
22,Fearow,3
23,Ekans,3
24,Arbok,4
25,Pikachu,4
26,Raichu,5
27,Sandshrew,3
28,Sandslash,4
29,Nidoran_F,3
30,Nidorina,4
31,Nidoqueen,5
32,Nidoran_M,3
33,Nidorino,4
34,Nidoking,5
35,Clefairy,4
36,Clefable,5
37,Vulpix,4
38,Ninetales,5
39,Jigglypuff,3
40,Wigglytuff,4
41,Zubat,1
42,Golbat,3
43,Oddish,3
44,Gloom,4
45,Vileplume,5
46,Paras,3
47,Parasect,4
48,Venonat,1
49,Venomoth,3
50,Diglett,3
51,Dugtrio,4
52,Meowth,3
53,Persian,4
54,Psyduck,1
55,Golduck,3
56,Mankey,3
57,Primeape,4
58,Growlithe,4
59,Arcanine,5
60,Poliwag,1
61,Poliwhirl,3
62,Poliwrath,4
63,Abra,3
64,Kadabra,4
65,Alakazam,5
66,Machop,3
67,Machoke,4
68,Machamp,5
69,Bellsprout,3
70,Weepinbell,4
71,Victreebel,5
72,Tentacool,3
73,Tentacruel,4
74,Geodude,3
75,Graveler,4
76,Golem,5
77,Ponyta,3
78,Rapidash,4
79,Slowpoke,1
80,Slowbro,3
81,Magnemite,3
82,Magneton,4
83,Farfetch'd,5
84,Doduo,3
85,Dodrio,4
86,Seel,3
87,Dewgong,4
88,Grimer,3
89,Muk,4
90,Shellder,3
91,Cloyster,4
92,Gastly,3
93,Haunter,4
94,Gengar,5
95,Onix,4
96,Drowzee,2
97,Hypno,3
98,Krabby,3
99,Kingler,4
100,Voltorb,3
101,Electrode,4
102,Exeggcute,3
103,Exeggutor,4
104,Cubone,3
105,Marowak,4
106,Hitmonlee,4
107,Hitmonchan,4
108,Lickitung,4
109,Koffing,3
110,Weezing,4
111,Rhyhorn,3
112,Rhydon,4
113,Chansey,4
114,Tangela,3
115,Kangaskhan,5
116,Horsea,3
117,Seadra,4
118,Goldeen,1
119,Seaking,3
120,Staryu,1
121,Starmie,3
122,Mr.Mime,5
123,Scyther,4
124,Jynx,3
125,Electabuzz,4
126,Magmar,4
127,Pinsir,4
128,Tauros,5
129,Magikarp,1
130,Gyarados,4
131,Lapras,4
132,Ditto,4
133,Eevee,3
134,Vaporeon,4
135,Jolteon,4
136,Flareon,4
137,Porygon,4
138,Omanyte,3
139,Omastar,4
140,Kabuto,3
141,Kabutops,4
142,Aerodactyl,4
143,Snorlax,4
144,Articuno,5
145,Zapdos,5
146,Moltres,5
147,Dratini,3
148,Dragonair,4
149,Dragonite,5
150,Mewtwo,5
151,Mew,5
